token_id	complete_three_region_cpps
LA_E_1000841_0020	True
LA_E_1001476_0034	True
LA_E_1001476_0040	True
LA_E_1002769_0019	True
LA_E_1005177_0001	True
LA_E_1005177_0017	True
LA_E_1005177_0022	True
LA_E_1006317_0019	True
LA_E_1006886_0007	True
LA_E_1007069_0028	True
LA_E_1009254_0013	True
LA_E_1009254_0018	True
LA_E_1009254_0023	True
LA_E_1009429_0005	True
LA_E_1009429_0009	True
LA_E_1009429_0014	True
LA_E_1011807_0001	True
LA_E_1011807_0013	True
LA_E_1014345_0000	True
LA_E_1014516_0000	True
LA_E_1014644_0029	True
LA_E_1017665_0019	True
LA_E_1017665_0020	True
LA_E_1018246_0039	True
LA_E_1018407_0062	True
LA_E_1019043_0001	True
LA_E_1019297_0014	True
LA_E_1020167_0013	True
LA_E_1020167_0043	True
LA_E_1020167_0044	True
LA_E_1023514_0002	True
LA_E_1023514_0030	True
LA_E_1024324_0021	True
LA_E_1024417_0015	True
LA_E_1024417_0016	True
LA_E_1024929_0022	True
LA_E_1027163_0022	True
LA_E_1027275_0013	True
LA_E_1028101_0000	True
LA_E_1028101_0001	True
LA_E_1028101_0002	True
LA_E_1030619_0020	True
LA_E_1031731_0007	True
LA_E_1031731_0015	True
LA_E_1031837_0007	True
LA_E_1031837_0008	True
LA_E_1031941_0018	True
LA_E_1031941_0028	True
LA_E_1031941_0029	True
LA_E_1034211_0040	True
LA_E_1034414_0037	True
LA_E_1034718_0001	True
LA_E_1036763_0064	True
LA_E_1036786_0023	True
LA_E_1036786_0026	True
LA_E_1037559_0054	True
LA_E_1039046_0032	True
LA_E_1039046_0063	True
LA_E_1039046_0064	True
LA_E_1042300_0022	True
LA_E_1042300_0044	True
LA_E_1042300_0053	True
LA_E_1043874_0069	True
LA_E_1044126_0001	True
LA_E_1044126_0002	True
LA_E_1046103_0030	True
LA_E_1046787_0003	True
LA_E_1047397_0002	True
LA_E_1047426_0032	True
LA_E_1047426_0035	True
LA_E_1047426_0036	True
LA_E_1048510_0019	True
LA_E_1048647_0020	True
LA_E_1048647_0021	True
LA_E_1048766_0016	True
LA_E_1049029_0008	True
LA_E_1049029_0010	True
LA_E_1049029_0011	True
LA_E_1049029_0012	True
LA_E_1049029_0013	True
LA_E_1050463_0014	True
